ALLCOINS ANALYSIS

#BTC
1/ Autocorrelations of series ‘X’, by lag

   -17    -16    -15    -14    -13    -12    -11    -10     -9     -8     -7     -6     -5     -4     -3     -2     -1      0 
-0.042  0.003 -0.015 -0.056 -0.064 -0.042 -0.061 -0.006 -0.069 -0.094  0.016 -0.117 -0.069 -0.114  0.015 -0.063 -0.061 -0.042 
     1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17 
 0.169  0.082  0.154  0.075  0.184  0.168  0.107  0.133  0.121  0.089 -0.014  0.072  0.107  0.065  0.103  0.139  0.005 

2/ Tests for zero cross-correlation of x and y

|  Lag|     CC|  Stand. CB(95%)|  Robust CB(95%)|  Lag|      t| p-value| t-tilde| p-value|  Lag|     HB| p-value| Q-tilde| p-value|
|----:|------:|---------------:|---------------:|----:|------:|-------:|-------:|-------:|----:|------:|-------:|-------:|-------:|
| -107|  0.001| (-0.189, 0.189)| (-0.002, 0.002)| -107|  0.011|   0.991|   1.000|   0.317| -107| 94.657|   0.817|  98.035|   0.744|
| -106| -0.020| (-0.189, 0.189)| (-0.041, 0.041)| -106| -0.209|   0.834|  -0.969|   0.333| -106| 94.644|   0.798|  97.035|   0.745|
| -105| -0.006| (-0.189, 0.189)| (-0.026, 0.026)| -105| -0.067|   0.947|  -0.483|   0.629| -105| 92.285|   0.826|  96.096|   0.744|
| -104| -0.033| (-0.189, 0.189)| (-0.058, 0.058)| -104| -0.341|   0.733|  -1.113|   0.266| -104| 92.125|   0.811|  95.863|   0.727|
| -103| -0.031| (-0.189, 0.189)| (-0.048, 0.048)| -103| -0.323|   0.747|  -1.264|   0.206| -103| 88.990|   0.853|  94.624|   0.734|
| -102| -0.043| (-0.189, 0.189)| (-0.047, 0.047)| -102| -0.450|   0.653|  -1.820|   0.069| -102| 86.740|   0.875|  93.027|   0.749|
| -101| -0.031| (-0.189, 0.189)| (-0.049, 0.049)| -101| -0.318|   0.750|  -1.213|   0.225| -101| 83.092|   0.914|  89.713|   0.802|
| -100| -0.025| (-0.189, 0.189)| (-0.051, 0.051)| -100| -0.257|   0.797|  -0.944|   0.345| -100| 81.527|   0.922|  88.241|   0.814|
|  -99| -0.029| (-0.189, 0.189)| (-0.041, 0.041)|  -99| -0.307|   0.759|  -1.409|   0.159|  -99| 80.635|   0.922|  87.350|   0.813|
|  -98| -0.003| (-0.189, 0.189)| (-0.031, 0.031)|  -98| -0.032|   0.975|  -0.192|   0.847|  -98| 79.507|   0.925|  85.364|   0.834|
|  -97|  0.008| (-0.189, 0.189)| (-0.051, 0.051)|  -97|  0.081|   0.935|   0.301|   0.764|  -97| 79.496|   0.914|  85.327|   0.816|
|  -96|  0.036| (-0.189, 0.189)| (-0.054, 0.054)|  -96|  0.373|   0.709|   1.292|   0.196|  -96| 79.431|   0.903|  85.236|   0.798|
|  -95|  0.000| (-0.189, 0.189)| (-0.047, 0.047)|  -95|  0.005|   0.996|   0.019|   0.984|  -95| 78.177|   0.908|  83.566|   0.813|
|  -94|  0.027| (-0.189, 0.189)| (-0.059, 0.059)|  -94|  0.283|   0.777|   0.898|   0.369|  -94| 78.176|   0.895|  83.565|   0.793|
|  -93| -0.006| (-0.189, 0.189)| (-0.064, 0.064)|  -93| -0.057|   0.954|  -0.168|   0.867|  -93| 77.559|   0.890|  82.759|   0.790|
|  -92|  0.063| (-0.189, 0.189)| (-0.054, 0.054)|  -92|  0.656|   0.512|   2.300|   0.021|  -92| 77.535|   0.876|  82.731|   0.768|
