"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x238128324","x1401853378032975872",2021-06-07 10:47:45,"TheBBDirectory","Enjoy clifftop walks and stunning coastal walks during your stay at Spiggie Guest House. You might even be lucky enough to spot the local wildlife.
https://t.co/3KE5xHM6mM
#GuestHouse #FamilyFriendly #Coast #Beach #CoastalWalks #Wildlife #Dunrossness #ShetlandIslands #Scotland https://t.co/QRJNx3YbQ6","Buffer",277,,,,FALSE,FALSE,0,0,,,"GuestHouse FamilyFriendly Coast Beach CoastalWalks Wildlife Dunrossness ShetlandIslands Scotland",,"thebandbdirectory.co.uk/11168","https://t.co/3KE5xHM6mM","http://www.thebandbdirectory.co.uk/11168","http://pbs.twimg.com/media/E3RiN3BWQAob-mR.jpg","https://t.co/QRJNx3YbQ6","https://twitter.com/TheBBDirectory/status/1401853378032975872/photo/1","photo","http://pbs.twimg.com/media/E3RiN3BWQAob-mR.jpg","https://t.co/QRJNx3YbQ6","https://twitter.com/TheBBDirectory/status/1401853378032975872/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheBBDirectory/status/1401853378032975872","The B & B Directory","","The B&B Directory promotes guest accommodation to the public. Book direct with the owner and save money! Follow us!","http://t.co/xoEZoIY6RJ",FALSE,38150,40609,448,35602,1998,2011-01-14 12:40:48,FALSE,"http://t.co/xoEZoIY6RJ","http://www.thebandbdirectory.co.uk",,"https://pbs.twimg.com/profile_banners/238128324/1612799714","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1209136674468515846/-31ksWrm_normal.png"
"x66696458","x1401853344239521792",2021-06-07 10:47:37,"lifeisafestival","Spent the first part of the morning exploring the #rrsdiscovery &amp; now off for a beach walk! #Dundee #Scotland https://t.co/gHB83NfO88","Twitter for Android",113,,,,FALSE,FALSE,0,0,,,"rrsdiscovery Dundee Scotland",,,,,"http://pbs.twimg.com/media/E3RiJRZX0AIn2ov.jpg","https://t.co/gHB83NfO88","https://twitter.com/lifeisafestival/status/1401853344239521792/photo/1","photo","http://pbs.twimg.com/media/E3RiJRZX0AIn2ov.jpg http://pbs.twimg.com/media/E3RiKP1WUAEGtgg.jpg http://pbs.twimg.com/media/E3RiLLzWUAEYWia.jpg http://pbs.twimg.com/media/E3RiL96XIAEVQBC.jpg","https://t.co/gHB83NfO88 https://t.co/gHB83NfO88 https://t.co/gHB83NfO88 https://t.co/gHB83NfO88","https://twitter.com/lifeisafestival/status/1401853344239521792/photo/1 https://twitter.com/lifeisafestival/status/1401853344239521792/photo/1 https://twitter.com/lifeisafestival/status/1401853344239521792/photo/1 https://twitter.com/lifeisafestival/status/1401853344239521792/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lifeisafestival/status/1401853344239521792","Life is a Festival!","Glasgow, Planet Earth","Trying to be part of the solution <U+0001F331> #translator <U+0001F4DD> #travelblogger <U+0001F30D> #festivalreviews <U+0001F3AA>","https://t.co/hj4At9ddex",FALSE,3130,2763,214,15122,15783,2009-08-18 14:38:39,FALSE,"https://t.co/hj4At9ddex","http://lifeisafestival.wordpress.com",,"https://pbs.twimg.com/profile_banners/66696458/1504107874","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/861208714119917568/Jm_ldw-L_normal.jpg"
"x1395364251653509123","x1401853174110109697",2021-06-07 10:46:56,"lookingbackto55","World is fucking bonkers man. Listening to @BBCRadioScot &amp; Chick Young is talking about Quarter Finals. Calm your hairpiece man!! 

#EUROS2020 #Scotland #SFA #Hampden #EURO2020","Twitter for iPhone",180,,,,FALSE,FALSE,0,0,,,"EUROS2020 Scotland SFA Hampden EURO2020",,,,,,,,,,,,,"x301491152","BBCRadioScot","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lookingbackto55/status/1401853174110109697","Kenny Hadden <U+0001F44D>","","All views are my own. If you don't want to debate then don't reply. Any abuse will be reported & deleted. Don't be a keyboard warrior!!",,FALSE,15,112,0,159,84,2021-05-20 13:02:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/1395364251653509123/1621528201",,"http://pbs.twimg.com/profile_images/1396034284817993742/wh_fptVO_normal.jpg"
"x587270216","x1401853003133554688",2021-06-07 10:46:15,"UnRoyalReporter","Must write an article on how risible the whole idea of #PrinceWilliam winning the hearts and minds of #Scotland is.

Oh...hold on....@bellacaledonia is In like Flynn

https://t.co/dTsr8BX6sb","Twitter Web App",190,,,,FALSE,FALSE,0,0,,,"PrinceWilliam Scotland",,"bellacaledonia.org.uk/2021/06/07/kil…","https://t.co/dTsr8BX6sb","https://bellacaledonia.org.uk/2021/06/07/kilts-and-populist-royalism/",,,,,,,,,"x103554348","bellacaledonia","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UnRoyalReporter/status/1401853003133554688","Revolting-Subject","En route to The Tower","""Nobility is not noble...Shatter the romance that keeps a nation numb and spellbound whilst privilege picks its pocket""","https://t.co/5SZRbon7EV",FALSE,6089,5765,44,23866,11892,2012-05-22 08:57:13,FALSE,"https://t.co/5SZRbon7EV","http://revoltingsubject.com",,"https://pbs.twimg.com/profile_banners/587270216/1583760772","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/3099807330/6471889d0c389f4678ea8eceb7bdd3d4_normal.jpeg"
"x49642583","x1401852937979170819",2021-06-07 10:46:00,"ScottishField","A stunning home in the Scottish capital 

@RettieandCo #Scotland #Scottish #property #forsale #homes #houses #realestate #propertyoftheday #Edinburgh

https://t.co/Za0OdKP7HO","TweetDeck",174,,,,FALSE,FALSE,0,0,,,"Scotland Scottish property forsale homes houses realestate propertyoftheday Edinburgh",,"scottishfield.co.uk/homes-gardens/…","https://t.co/Za0OdKP7HO","https://www.scottishfield.co.uk/homes-gardens/property-2/a-beautiful-property-with-a-pond-for-1-6-million/",,,,,,,,,"x29692308","RettieandCo","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScottishField/status/1401852937979170819","Scottish Field","Edinburgh, Scotland","Scotland's quality lifestyle magazine, with country news, fashion, interiors, travel, food, drink and more. Est 1903 https://t.co/b4KhSD3iDl","https://t.co/GmmnIOka3V",FALSE,21536,3657,255,25467,1024,2009-06-22 14:24:28,FALSE,"https://t.co/GmmnIOka3V","http://www.scottishfield.co.uk",,"https://pbs.twimg.com/profile_banners/49642583/1617819256","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/635841776562098177/pnaK7jdY_normal.jpg"
"x49642583","x1401834818757873666",2021-06-07 09:34:00,"ScottishField","Hotel bookings on the rise as COVID restrictions lift

@crerarhotels #Scotland #Scottish #hotels #tourism #accommodation #travel 

https://t.co/KRJXjFKcaf","TweetDeck",154,,,,FALSE,FALSE,0,0,,,"Scotland Scottish hotels tourism accommodation travel",,"scottishfield.co.uk/travel/scotlan…","https://t.co/KRJXjFKcaf","https://www.scottishfield.co.uk/travel/scotland-travel/hotel-bookings-boost-after-re-opening-confirmation/",,,,,,,,,"x21290242","CrerarHotels","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScottishField/status/1401834818757873666","Scottish Field","Edinburgh, Scotland","Scotland's quality lifestyle magazine, with country news, fashion, interiors, travel, food, drink and more. Est 1903 https://t.co/b4KhSD3iDl","https://t.co/GmmnIOka3V",FALSE,21536,3657,255,25467,1024,2009-06-22 14:24:28,FALSE,"https://t.co/GmmnIOka3V","http://www.scottishfield.co.uk",,"https://pbs.twimg.com/profile_banners/49642583/1617819256","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/635841776562098177/pnaK7jdY_normal.jpg"
"x49642583","x1401839312166178819",2021-06-07 09:51:51,"ScottishField","A very limited edition special collection

@GlenMorayDist @GlenMorayIain #Scotland #Scottish #whisky #Scotch #distillery #distilleries

https://t.co/IM2aSQyLET","TweetDeck",159,,,,FALSE,FALSE,0,0,,,"Scotland Scottish whisky Scotch distillery distilleries",,"scottishfield.co.uk/food-and-drink…","https://t.co/IM2aSQyLET","https://www.scottishfield.co.uk/food-and-drink-2/whisky/glen-morays-exclusive-private-cask-collection/",,,,,,,,,"x1907379811 x720635490878271488","GlenMorayDist GlenMorayIain","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScottishField/status/1401839312166178819","Scottish Field","Edinburgh, Scotland","Scotland's quality lifestyle magazine, with country news, fashion, interiors, travel, food, drink and more. Est 1903 https://t.co/b4KhSD3iDl","https://t.co/GmmnIOka3V",FALSE,21536,3657,255,25467,1024,2009-06-22 14:24:28,FALSE,"https://t.co/GmmnIOka3V","http://www.scottishfield.co.uk",,"https://pbs.twimg.com/profile_banners/49642583/1617819256","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/635841776562098177/pnaK7jdY_normal.jpg"
"x49642583","x1401837083501596674",2021-06-07 09:43:00,"ScottishField","Buy a book - help a good cause

@corriescapers @MarysMeals #Scotland #Scottish #books #charity 

https://t.co/cpwTBBwhfz","TweetDeck",120,,,,FALSE,FALSE,2,0,,,"Scotland Scottish books charity",,"scottishfield.co.uk/culture/books/…","https://t.co/cpwTBBwhfz","https://www.scottishfield.co.uk/culture/books/corries-capers-books-help-feed-starving-children/",,,,,,,,,"x1257886999 x20802956","corriescapers MarysMeals","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScottishField/status/1401837083501596674","Scottish Field","Edinburgh, Scotland","Scotland's quality lifestyle magazine, with country news, fashion, interiors, travel, food, drink and more. Est 1903 https://t.co/b4KhSD3iDl","https://t.co/GmmnIOka3V",FALSE,21536,3657,255,25467,1024,2009-06-22 14:24:28,FALSE,"https://t.co/GmmnIOka3V","http://www.scottishfield.co.uk",,"https://pbs.twimg.com/profile_banners/49642583/1617819256","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/635841776562098177/pnaK7jdY_normal.jpg"
"x49642583","x1401849666703036422",2021-06-07 10:33:00,"ScottishField","Do you have designs on a stunning new home?

@TRA_Architects #Scotland #Scottish #design #architects #architecture #property

https://t.co/RA49i8KYLe","TweetDeck",149,,,,FALSE,FALSE,1,0,,,"Scotland Scottish design architects architecture property",,"scottishfield.co.uk/homes-gardens/…","https://t.co/RA49i8KYLe","https://www.scottishfield.co.uk/homes-gardens/property-2/working-with-an-architect-to-get-the-best-design-possible/",,,,,,,,,"x104531266","TRA_Architects","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScottishField/status/1401849666703036422","Scottish Field","Edinburgh, Scotland","Scotland's quality lifestyle magazine, with country news, fashion, interiors, travel, food, drink and more. Est 1903 https://t.co/b4KhSD3iDl","https://t.co/GmmnIOka3V",FALSE,21536,3657,255,25467,1024,2009-06-22 14:24:28,FALSE,"https://t.co/GmmnIOka3V","http://www.scottishfield.co.uk",,"https://pbs.twimg.com/profile_banners/49642583/1617819256","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/635841776562098177/pnaK7jdY_normal.jpg"
"x1369987099710078976","x1401852903506202624",2021-06-07 10:45:52,"TheMcVariations","My review of BURROUGHS AND SCOTLAND is now available at https://t.co/L9TQO682JU @ChrisKelso5 @FugitivesF @DHarlanWilson @MrEwanMorrison #williamsburroughs #Scotland","Twitter for iPhone",164,,,,FALSE,FALSE,0,0,,,"williamsburroughs Scotland",,"dan-mcneil.com/burroughs-and-…","https://t.co/L9TQO682JU","https://www.dan-mcneil.com/burroughs-and-scotland/",,,,,,,,,"x551926854 x1317490062246936578 x36669019 x45538440","ChrisKelso5 FugitivesF DHarlanWilson MrEwanMorrison","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheMcVariations/status/1401852903506202624","Dan McNeil","PA-99-N2 b","Writer + artist. Fiction @fugitivesf + @alienmanifest. Forthcoming @antipodeansf. #sciencefiction #surrealism #irreal #scifi","https://t.co/buz27wyQWl",FALSE,231,680,1,2227,1826,2021-03-11 12:22:57,FALSE,"https://t.co/buz27wyQWl","http://www.dan-mcneil.com",,"https://pbs.twimg.com/profile_banners/1369987099710078976/1615493951",,"http://pbs.twimg.com/profile_images/1392099185512562690/Y5avZ_iJ_normal.jpg"
